time linenum type arrow epoch epochnum step stepnum losslabel loss acclabel acc
112.0s 42 TRAINING --> Epoch: 1/4, Step: 50/2359, Loss: 0.6768017554283142, Accuracy: 0.575
189.8s 43 TRAINING --> Epoch: 1/4, Step: 100/2359, Loss: 0.5834548401832581, Accuracy: 0.67875
267.3s 44 TRAINING --> Epoch: 1/4, Step: 150/2359, Loss: 0.49108465457955996, Accuracy: 0.74875
344.9s 45 TRAINING --> Epoch: 1/4, Step: 200/2359, Loss: 0.45258478473871944, Accuracy: 0.7775
422.4s 46 TRAINING --> Epoch: 1/4, Step: 250/2359, Loss: 0.416038671195507, Accuracy: 0.80025
500.1s 47 TRAINING --> Epoch: 1/4, Step: 300/2359, Loss: 0.39597084154685336, Accuracy: 0.8145833333333333
577.9s 48 TRAINING --> Epoch: 1/4, Step: 350/2359, Loss: 0.38247609864388193, Accuracy: 0.8248214285714286
655.5s 49 TRAINING --> Epoch: 1/4, Step: 400/2359, Loss: 0.36941313633695244, Accuracy: 0.8325
733.2s 50 TRAINING --> Epoch: 1/4, Step: 450/2359, Loss: 0.3601060991237561, Accuracy: 0.8380555555555556
811.0s 51 TRAINING --> Epoch: 1/4, Step: 500/2359, Loss: 0.35211446235328914, Accuracy: 0.842625
888.9s 52 TRAINING --> Epoch: 1/4, Step: 550/2359, Loss: 0.34454495819454845, Accuracy: 0.8470454545454545
966.6s 53 TRAINING --> Epoch: 1/4, Step: 600/2359, Loss: 0.33574511234338084, Accuracy: 0.8523958333333334
1044.4s 54 TRAINING --> Epoch: 1/4, Step: 650/2359, Loss: 0.32838368738499973, Accuracy: 0.8564423076923077
1122.0s 55 TRAINING --> Epoch: 1/4, Step: 700/2359, Loss: 0.3229570055912648, Accuracy: 0.8591964285714285
1199.6s 56 TRAINING --> Epoch: 1/4, Step: 750/2359, Loss: 0.31805233337481814, Accuracy: 0.86225
1277.2s 57 TRAINING --> Epoch: 1/4, Step: 800/2359, Loss: 0.3149161557434127, Accuracy: 0.864296875
1354.8s 58 TRAINING --> Epoch: 1/4, Step: 850/2359, Loss: 0.31076458122800377, Accuracy: 0.8674264705882353
1432.6s 59 TRAINING --> Epoch: 1/4, Step: 900/2359, Loss: 0.30665048786749444, Accuracy: 0.8697222222222222
1510.3s 60 TRAINING --> Epoch: 1/4, Step: 950/2359, Loss: 0.302041318761675, Accuracy: 0.8717763157894737
1587.9s 61 TRAINING --> Epoch: 1/4, Step: 1000/2359, Loss: 0.2967974712513387, Accuracy: 0.8744375
1665.8s 62 TRAINING --> Epoch: 1/4, Step: 1050/2359, Loss: 0.2928739905765369, Accuracy: 0.8763690476190477
1743.7s 63 TRAINING --> Epoch: 1/4, Step: 1100/2359, Loss: 0.2897142937186767, Accuracy: 0.878125
1821.5s 64 TRAINING --> Epoch: 1/4, Step: 1150/2359, Loss: 0.28682534700826456, Accuracy: 0.8797282608695652
1899.1s 65 TRAINING --> Epoch: 1/4, Step: 1200/2359, Loss: 0.28442333835487565, Accuracy: 0.8809895833333333
1976.9s 66 TRAINING --> Epoch: 1/4, Step: 1250/2359, Loss: 0.2823634157955647, Accuracy: 0.88195
2054.6s 67 TRAINING --> Epoch: 1/4, Step: 1300/2359, Loss: 0.28042865969240666, Accuracy: 0.8826923076923077
2132.3s 68 TRAINING --> Epoch: 1/4, Step: 1350/2359, Loss: 0.2770970008963788, Accuracy: 0.8842592592592593
2209.9s 69 TRAINING --> Epoch: 1/4, Step: 1400/2359, Loss: 0.2742753852903843, Accuracy: 0.885625
2287.7s 70 TRAINING --> Epoch: 1/4, Step: 1450/2359, Loss: 0.27190468434629766, Accuracy: 0.8869827586206896
2365.3s 71 TRAINING --> Epoch: 1/4, Step: 1500/2359, Loss: 0.2707390700802207, Accuracy: 0.8879166666666667
2443.0s 72 TRAINING --> Epoch: 1/4, Step: 1550/2359, Loss: 0.26902727122749054, Accuracy: 0.8890725806451613
2520.7s 73 TRAINING --> Epoch: 1/4, Step: 1600/2359, Loss: 0.26753660895628856, Accuracy: 0.889765625
